epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,368.193,1.09858,0.90867,1.13004,0.54973,0.59887,0.57508,0.3449,1.39401,1.31795,1.33999,0.000806528,0.000806528,0.000806528
57,373.819,1.07631,0.94792,1.12655,0.66642,0.50282,0.56009,0.34082,1.40422,1.31913,1.31732,0.00079521,0.00079521,0.00079521
58,379.425,1.09803,0.94466,1.1368,0.63145,0.57062,0.608,0.37321,1.33917,1.23094,1.30985,0.000783892,0.000783892,0.000783892
59,385.168,1.08497,0.90778,1.10714,0.55917,0.63842,0.62854,0.38362,1.41373,1.18614,1.32849,0.000772575,0.000772575,0.000772575
60,390.956,1.0837,0.93804,1.13044,0.59313,0.65537,0.61065,0.37607,1.38045,1.24096,1.31354,0.000761257,0.000761257,0.000761257
61,396.591,1.06815,0.93546,1.11778,0.54992,0.61017,0.58091,0.35774,1.39277,1.41106,1.31501,0.000749939,0.000749939,0.000749939
62,402.293,1.07936,0.85514,1.13357,0.61304,0.53107,0.59816,0.36071,1.40368,1.33817,1.3645,0.000738622,0.000738622,0.000738622
63,407.953,1.05415,0.86926,1.1056,0.56088,0.54802,0.57712,0.37256,1.41603,1.36759,1.36443,0.000727304,0.000727304,0.000727304
64,413.722,1.12157,0.87491,1.17076,0.49906,0.54802,0.54223,0.32624,1.44323,1.57961,1.35576,0.000715986,0.000715986,0.000715986
65,419.501,1.08591,0.92582,1.13334,0.60738,0.54802,0.58134,0.35162,1.4118,1.32927,1.33204,0.000704668,0.000704668,0.000704668
66,425.236,1.13028,1.06697,1.16179,0.66428,0.53107,0.59233,0.37072,1.40772,1.43921,1.31966,0.000693351,0.000693351,0.000693351
67,430.889,1.05141,0.85102,1.12867,0.55566,0.66667,0.60972,0.36109,1.46438,1.24289,1.35171,0.000682033,0.000682033,0.000682033
68,436.521,1.01952,0.82399,1.07553,0.58724,0.57875,0.59879,0.36265,1.43236,1.2625,1.32547,0.000670715,0.000670715,0.000670715
69,442.193,1.06965,0.97352,1.14155,0.56211,0.55932,0.58335,0.35091,1.47623,1.46954,1.34678,0.000659398,0.000659398,0.000659398
70,447.877,1.05992,0.84687,1.11897,0.54224,0.66667,0.58877,0.34887,1.45943,1.23438,1.34107,0.00064808,0.00064808,0.00064808
